sub_id,RMID,start_of_term,end_of_term,renewal_schedule,bundle_id,analysis_datetime
1.0,1.0,2020-03-16,2020-03-16,monthly,1.0,2020-04-01_05-04-27_PM
7.0,2.0,2020-03-16,2020-03-16,annual,2.0,2020-04-01_05-04-27_PM
8.0,1.0,2017-03-16,2021-03-16,annual,3.0,2020-04-01_05-04-27_PM
9.0,3.0,2020-03-16,2021-03-16,annual,3.0,2020-04-01_05-04-27_PM
10.0,1.0,2017-03-16,2011-03-17,monthly,2.0,2020-04-01_05-04-27_PM
11.0,2.0,2017-03-17,2017-03-18,monthly,3.0,2020-04-01_05-04-27_PM
12.0,3.0,2017-04-18,2019-03-19,monthly,3.0,2020-04-01_05-04-27_PM
13.0,1.0,2019-04-19,2021-04-20,annual,2.0,2020-04-01_05-04-27_PM
14.0,2.0,2018-04-20,2021-05-21,monthly,1.0,2020-04-01_05-04-27_PM
15.0,3.0,2017-04-21,2021-03-22,annual,3.0,2020-04-01_05-04-27_PM
16.0,1.0,2020-03-16,2020-03-16,monthly,1.0,2020-04-01_05-04-27_PM
