sub_id,RMID,start_of_term,end_of_term,renewal_schedule,bundle_id,analysis_datetime,annual_unit_price,monthly_unit_price
1.0,1.0,2020-03-16,2020-03-16,monthly,1.0,2020-04-01_05-41-32_PM,6660,555
8.0,1.0,2017-03-16,2021-03-16,annual,3.0,2020-04-01_05-41-32_PM,6660,555
10.0,1.0,2017-03-16,2011-03-17,monthly,2.0,2020-04-01_05-41-32_PM,6660,555
13.0,1.0,2019-04-19,2021-04-20,annual,2.0,2020-04-01_05-41-32_PM,6660,555
16.0,1.0,2020-03-16,2020-03-16,monthly,1.0,2020-04-01_05-41-32_PM,6660,555
7.0,2.0,2020-03-16,2020-03-16,annual,2.0,2020-04-01_05-41-32_PM,4080,340
11.0,2.0,2017-03-17,2017-03-18,monthly,3.0,2020-04-01_05-41-32_PM,4080,340
14.0,2.0,2018-04-20,2021-05-21,monthly,1.0,2020-04-01_05-41-32_PM,4080,340
9.0,3.0,2020-03-16,2021-03-16,annual,3.0,2020-04-01_05-41-32_PM,4500,375
12.0,3.0,2017-04-18,2019-03-19,monthly,3.0,2020-04-01_05-41-32_PM,4500,375
15.0,3.0,2017-04-21,2021-03-22,annual,3.0,2020-04-01_05-41-32_PM,4500,375
