sub_id,RMID,start_of_term,end_of_term,renewal_schedule,bundle_id,analysis_datetime,arr,mrr,logo_id,first_start_of_term_x,last_end_of_term_x,gross_mrr_x,gross_arr_x,net_mrr_x,net_arr_x,movement_classification_x,logo_name,first_start_of_term_y,last_end_of_term_y,gross_mrr_y,gross_arr_y,net_mrr_y,net_arr_y,movement_classification_y
1.0,1.0,2020-03-16,2020-03-16,monthly,1.0,2020-04-01_05-44-04_PM,6660,555,1,2020-03-16,2020-03-16,10,120,10,120,new,1,2019-03-16,2020-03-16,10,120,10,120,new
8.0,1.0,2017-03-16,2021-03-16,annual,3.0,2020-04-01_05-44-04_PM,6660,555,1,2020-03-16,2020-03-16,10,120,10,120,new,1,2019-03-16,2020-03-16,10,120,10,120,new
10.0,1.0,2017-03-16,2011-03-17,monthly,2.0,2020-04-01_05-44-04_PM,6660,555,1,2020-03-16,2020-03-16,10,120,10,120,new,1,2019-03-16,2020-03-16,10,120,10,120,new
13.0,1.0,2019-04-19,2021-04-20,annual,2.0,2020-04-01_05-44-04_PM,6660,555,1,2020-03-16,2020-03-16,10,120,10,120,new,1,2019-03-16,2020-03-16,10,120,10,120,new
16.0,1.0,2020-03-16,2020-03-16,monthly,1.0,2020-04-01_05-44-04_PM,6660,555,1,2020-03-16,2020-03-16,10,120,10,120,new,1,2019-03-16,2020-03-16,10,120,10,120,new
7.0,2.0,2020-03-16,2020-03-16,annual,2.0,2020-04-01_05-44-04_PM,4080,340,2,2020-03-16,2020-03-16,10,120,10,120,new,2,2020-03-16,2020-04-16,10,120,10,120,contraction
11.0,2.0,2017-03-17,2017-03-18,monthly,3.0,2020-04-01_05-44-04_PM,4080,340,2,2020-03-16,2020-03-16,10,120,10,120,new,2,2020-03-16,2020-04-16,10,120,10,120,contraction
14.0,2.0,2018-04-20,2021-05-21,monthly,1.0,2020-04-01_05-44-04_PM,4080,340,2,2020-03-16,2020-03-16,10,120,10,120,new,2,2020-03-16,2020-04-16,10,120,10,120,contraction
9.0,3.0,2020-03-16,2021-03-16,annual,3.0,2020-04-01_05-44-04_PM,4500,375,3,2020-03-16,2020-03-16,10,120,10,120,new,3,2019-03-16,2020-04-16,100,1200,10,120,expansion
12.0,3.0,2017-04-18,2019-03-19,monthly,3.0,2020-04-01_05-44-04_PM,4500,375,3,2020-03-16,2020-03-16,10,120,10,120,new,3,2019-03-16,2020-04-16,100,1200,10,120,expansion
15.0,3.0,2017-04-21,2021-03-22,annual,3.0,2020-04-01_05-44-04_PM,4500,375,3,2020-03-16,2020-03-16,10,120,10,120,new,3,2019-03-16,2020-04-16,100,1200,10,120,expansion
