sub_id,RMID,start_of_term,end_of_term,renewal_schedule,bundle_id,analysis_datetime,arr,mrr,logo_id,movement_classification_x,logo_name,movement_classification_y,logo_start,logo_end,last_gross_mrr,last_gross_arr,last_net_mrr,last_net_arr,movement_classification
1.0,1.0,2020-03-16,2020-03-16,monthly,1.0,2020-04-02_01-41-59_PM,6660,555,1,new,1,new,2019-03-16,2020-03-16,10,120,10,120,churn
8.0,1.0,2017-03-16,2021-03-16,annual,3.0,2020-04-02_01-41-59_PM,6660,555,1,new,1,new,2019-03-16,2020-03-16,10,120,10,120,expansion
10.0,1.0,2017-03-16,2011-03-17,monthly,2.0,2020-04-02_01-41-59_PM,6660,555,1,new,1,new,2019-03-16,2020-03-16,10,120,10,120,expansion
13.0,1.0,2019-04-19,2021-04-20,annual,2.0,2020-04-02_01-41-59_PM,6660,555,1,new,1,new,2019-03-16,2020-03-16,10,120,10,120,expansion
16.0,1.0,2020-03-16,2020-03-16,monthly,1.0,2020-04-02_01-41-59_PM,6660,555,1,new,1,new,2019-03-16,2020-03-16,10,120,10,120,churn
7.0,2.0,2020-03-16,2020-03-16,annual,2.0,2020-04-02_01-41-59_PM,4080,340,2,new,2,contraction,2020-03-16,2020-04-16,10,120,10,120,new
11.0,2.0,2017-03-17,2017-03-18,monthly,3.0,2020-04-02_01-41-59_PM,4080,340,2,new,2,contraction,2020-03-16,2020-04-16,10,120,10,120,expansion
14.0,2.0,2018-04-20,2021-05-21,monthly,1.0,2020-04-02_01-41-59_PM,4080,340,2,new,2,contraction,2020-03-16,2020-04-16,10,120,10,120,expansion
9.0,3.0,2020-03-16,2021-03-16,annual,3.0,2020-04-02_01-41-59_PM,4500,375,3,new,3,expansion,2019-03-16,2020-04-16,100,1200,10,120,expansion
12.0,3.0,2017-04-18,2019-03-19,monthly,3.0,2020-04-02_01-41-59_PM,4500,375,3,new,3,expansion,2019-03-16,2020-04-16,100,1200,10,120,expansion
15.0,3.0,2017-04-21,2021-03-22,annual,3.0,2020-04-02_01-41-59_PM,4500,375,3,new,3,expansion,2019-03-16,2020-04-16,100,1200,10,120,expansion
